ticker,reason,evidence
AHOY,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-12-23, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AHOY' (outcome=not_found, 20.009s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-12-23"
AIRL,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-09-12, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AIRL' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-09-12"
ALUM,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-10-11, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ALUM' (outcome=not_found, 20.009s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-10-11"
AMDS,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-06-20, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AMDS' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-06-20"
AMJ,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-05-21, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AMJ' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-05-21"
AMNA,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-12-11, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AMNA' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-12-11"
AMND,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-12-11, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AMND' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-12-11"
AMPD,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-02-21, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AMPD' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-02-21"
AMPS,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-10-04, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AMPS' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-10-04"
AMTR,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-12-11, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AMTR' (outcome=not_found, 20.011s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-12-11"
APED,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-12-22, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'APED' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-12-22"
APRD,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-04-01, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'APRD' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-04-01"
APRQ,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-04-01, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'APRQ' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-04-01"
AQGX,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-03-30, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AQGX' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-03-30"
AREA,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2026-02-19, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AREA' (outcome=not_found, 20.001s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-02-19"
ARKA,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-09-25, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ARKA' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-09-25"
ARKC,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-03-27, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ARKC' (outcome=not_found, 20.004s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-03-27"
ARKY,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-03-27, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ARKY' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-03-27"
ARKZ,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-09-25, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ARKZ' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-09-25"
ARMR,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-12-27, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ARMR' (outcome=not_found, 20.001s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-12-27"
ASET,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-10-20, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ASET' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-10-20"
ASHX,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-03-13, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ASHX' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-03-13"
ASPY,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-10-11, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ASPY' (outcome=not_found, 20.002s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-10-11"
AWEG,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-12-24, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AWEG' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-12-24"
AWYX,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-04-14, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AWYX' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-04-14"
BAL,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-06-08, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BAL' (outcome=not_found, 20.001s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-06-08"
BBIP,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-10-18, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BBIP' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-10-18"
BBSA,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-10-18, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BBSA' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-10-18"
BCIM,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-12-03, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BCIM' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-12-03"
BCM,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-06-07, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BCM' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-06-07"
BECO,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-08-12, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BECO' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-08-12"
BFIT,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-02-16, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BFIT' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-02-16"
BFTR,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-10-30, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BFTR' (outcome=not_found, 20.002s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-10-30"
BICK,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-07-14, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BICK' (outcome=not_found, 20.004s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-07-14"
BIDS,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-07-05, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BIDS' (outcome=not_found, 20.001s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-07-05"
BJK,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2026-04-08, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BJK' (outcome=not_found, 20.004s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-04-08"
BKIV,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-09-12, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BKIV' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-09-12"
BKSB,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-09-06, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BKSB' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-09-06"
BKWO,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-09-12, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BKWO' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-09-12"
BLCN,"IBKR contract database returned no matching contract (sweep 2026-07-25); traded to the catalog cutoff 2026-05-01, so delisted between then and the sweep","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BLCN' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-05-01"
BLHY,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-06-28, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BLHY' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-06-28"
BLLD,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-03-21, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BLLD' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-03-21"
BLNG,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-07-26, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BLNG' (outcome=not_found, 20.004s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-07-26"
BMAX,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2026-04-13, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BMAX' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-04-13"
BMDL,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2026-01-29, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BMDL' (outcome=not_found, 20.003s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-01-29"
BNE,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-09-26, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BNE' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-09-26"
BOED,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2026-04-10, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BOED' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-04-10"
BOSS,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-11-10, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BOSS' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-11-10"
BSCE,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-03-30, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSCE' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-03-30"
BSCN,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-12-15, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSCN' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-12-15"
BSCO,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-12-13, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSCO' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-12-13"
BSCP,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-12-15, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSCP' (outcome=not_found, 20.009s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-12-15"
BSDE,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-03-30, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSDE' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-03-30"
BSEA,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-07-20, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSEA' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-07-20"
BSJN,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-12-15, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSJN' (outcome=not_found, 20.010s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-12-15"
BSJO,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-12-13, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSJO' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-12-13"
BSJP,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-12-15, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSJP' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-12-15"
BSMN,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-12-15, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSMN' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-12-15"
BSMO,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-12-13, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSMO' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-12-13"
BSMP,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-12-15, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BSMP' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-12-15"
BTEC,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-07-31, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BTEC' (outcome=not_found, 20.010s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-07-31"
BTEK,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-08-12, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BTEK' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-08-12"
BTFX,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-12-15, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BTFX' (outcome=not_found, 20.013s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-12-15"
BTHM,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-10-09, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BTHM' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-10-09"
BTOP,"IBKR contract database returned no matching contract (sweep 2026-07-25); traded to the catalog cutoff 2026-05-01, so delisted between then and the sweep","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BTOP' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-05-01"
BU,"IBKR contract database returned no matching contract (sweep 2026-07-25); traded to the catalog cutoff 2026-05-01, so delisted between then and the sweep","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BU' (outcome=not_found, 20.011s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-05-01"
BULX,"IBKR contract database returned no matching contract (sweep 2026-07-25); traded to the catalog cutoff 2026-05-01, so delisted between then and the sweep","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BULX' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-05-01"
BWEB,"IBKR contract database returned no matching contract (sweep 2026-07-25); traded to the catalog cutoff 2026-05-01, so delisted between then and the sweep","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BWEB' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-05-01"
BYTE,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-12-12, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'BYTE' (outcome=not_found, 20.004s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-12-12"
CA,"IBKR contract database returned no matching contract (sweep 2026-07-25); traded to the catalog cutoff 2026-05-01, so delisted between then and the sweep","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CA' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-05-01"
CACG,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-06-14, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CACG' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-06-14"
CCMG,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-10-28, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CCMG' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-10-28"
CCRV,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-08-18, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CCRV' (outcome=not_found, 20.010s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-08-18"
CETH,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-08-27, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CETH' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-08-27"
CFCV,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-10-29, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CFCV' (outcome=not_found, 20.010s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-10-29"
CHAD,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-02-17, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CHAD' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-02-17"
CHB,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-02-16, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CHB' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-02-16"
CHIC,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-02-16, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'CHIC' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-02-16"
